Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	305	25	9.7968472186705e-24	6.5460751870207426e-21	NPPA:CACNA1S:PLCB3:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:CACNG5:CACNG4:CACNG1:RYR1:CALM3:CACNG7:CACNG8:CACNG6:PLCB1:TRPM2:CACNG2:CACNA2D2:CACNA2D3:ITPR3:CACNA2D1:PIK3CG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_CATION_TRANSPORT	1124	39	1.8607001492338056e-23	1.1396788414057059e-20	NPPA:KCNJ9:RGS2:CACNA1S:PLCB3:KCNJ5:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:PLCB1:TRPM2:CACNG2:KCNJ4:GNAI2:CACNA2D2:CACNA2D3:MYLK:MEF2C:ITPR3:CAMK2B:CACNA2D1:PIK3CG:NOS3:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CATION_TRANSPORT
GO_bp	GO_REGULATION_OF_TRANSPORT	1781	46	8.986033973622349e-23	4.9797778482309913e-20	NPPA:KCNJ9:RGS2:CACNA1S:KCNJ5:CACNA2D4:CACNB3:PPP1R12A:EEF2K:CACNG3:MAPK3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:CALM3:KCNJ14:PRKCG:CACNG7:CACNG8:CACNG6:KCNJ3:OXT:MYLK2:GNAS:CACNG2:KCNJ4:OXTR:GNAI2:CACNA2D2:CACNA2D3:MYLK:CD38:MEF2C:ITPR3:ACTB:CAMK2B:ADCY1:EGFR:CACNA2D1:PIK3CG:NOS3:ADCY8:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_TRANSPORT
GO_bp	GO_CATION_TRANSMEMBRANE_TRANSPORT	817	34	9.485291139487602e-23	4.9797778482309913e-20	NPPA:KCNJ9:RGS2:CACNA1S:PLCB3:KCNJ5:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:PLCB1:TRPM2:CACNG2:KCNJ4:CACNA2D2:CACNA2D3:MEF2C:ITPR3:CACNA2D1:PIK3CG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CATION_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_ION_TRANSPORT	1635	44	2.4092622129627553e-22	1.18053848435175e-19	NPPA:PRKAB2:KCNJ9:PLA2G4A:RGS2:CACNA1S:PLCB3:KCNJ5:CACNA2D4:CACNB3:RYR3:PLCB2:PLA2G4F:CACNG3:GNAO1:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:OXT:PLCB1:TRPM2:CACNG2:KCNJ4:RAF1:GNAI2:CACNA2D2:CACNA2D3:MYLK:MEF2C:ITPR3:CAMK2B:CACNA2D1:PIK3CG:NOS3:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ION_TRANSPORT
GO_bp	GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	455	27	6.503595560238112e-22	2.987589210484383e-19	NPPA:KCNJ9:RGS2:CACNA1S:KCNJ5:CACNA2D4:CACNB3:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:CACNG2:KCNJ4:CACNA2D2:CACNA2D3:MEF2C:CACNA2D1:PIK3CG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	536	28	3.0762663136244518e-21	1.3300327885376306e-18	NPPA:KCNJ9:RGS2:CACNA1S:KCNJ5:CACNA2D4:CACNB3:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:CACNG2:KCNJ4:CACNA2D2:CACNA2D3:MEF2C:ACTB:CACNA2D1:PIK3CG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT	805	32	9.398385577125963e-21	3.837674110659769e-18	NPPA:KCNJ9:CACNA1S:PLCB3:KCNJ5:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:PLCB1:TRPM2:CACNG2:KCNJ4:CACNA2D2:CACNA2D3:ITPR3:CACNA2D1:PIK3CG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_INORGANIC_ION_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_ION_TRANSMEMBRANE_TRANSPORT	1104	36	1.2839725818106346e-20	4.9669465664779816e-18	NPPA:PRKAB2:KCNJ9:RGS2:CACNA1S:PLCB3:KCNJ5:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:PLCB1:TRPM2:CACNG2:KCNJ4:RAF1:CACNA2D2:CACNA2D3:MEF2C:ITPR3:CACNA2D1:PIK3CG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ION_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	22	11	1.744671849922155e-20	6.41166904846392e-18	NPPA:GUCY1A2:ADCY6:ADCY4:ADCY9:ADCY7:ADCY3:ADCY2:ADCY1:ADCY8:NPR2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS
GO_bp	GO_RESPONSE_TO_NITROGEN_COMPOUND	948	33	1.158065930424138e-19	4.053230756484483e-17	NPPA:JUN:RGS2:CACNA1S:ADCY6:ADCY4:FOS:RYR3:ADCY9:EEF2K:MAPK3:ADCY7:GNAO1:CACNG4:RYR1:CALM3:PRKCG:ADCY3:OXT:PLCB1:TRPM2:OXTR:GNAI2:ADCY2:MEF2C:CDKN1A:ACTB:ADCY1:EGFR:CACNA2D1:PIK3CG:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_NITROGEN_COMPOUND
GO_bp	GO_MUSCLE_SYSTEM_PROCESS	436	24	1.00165439773974e-18	3.3464362833577677e-16	NPPA:RGS2:CACNA1S:PPP1R12B:KCNJ5:MYL6B:MYL6:GNAO1:KCNJ12:KCNJ2:RYR1:CALM3:KCNJ3:PRKAG3:OXT:MYLK2:OXTR:MYLK:CD38:MEF2C:CAMK2B:CACNA2D1:PIK3CG:NOS3	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MUSCLE_SYSTEM_PROCESS
GO_bp	GO_CAMP_BIOSYNTHETIC_PROCESS	10	8	1.2538399496339766e-17	4.006836360786838e-15	ADCY6:ADCY4:ADCY9:ADCY7:ADCY3:ADCY2:ADCY1:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CAMP_BIOSYNTHETIC_PROCESS
GO_bp	GO_RESPONSE_TO_DRUG	992	31	4.232201553092833e-17	1.29611172563468e-14	JUN:RGS2:CACNA1S:ADCY6:PPP1R12A:FOS:RYR3:MAPK3:ADCY7:GNAO1:MAPK7:CACNG4:RYR1:CALM3:PRKCG:ADCY3:OXT:PLCB1:NFATC2:GNAS:TRPM2:OXTR:GNAI2:CD38:ADCY2:MEF2C:CDKN1A:ACTB:ADCY1:EGFR:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_DRUG
GO_bp	GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY	18	9	6.013214296981298e-17	1.7678850033125016e-14	ADCY6:ADCY4:ADCY9:ADCY7:ADCY3:ADCY2:ADCY1:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ACTIVATION_OF_PROTEIN_KINASE_A_ACTIVITY
GO_bp	GO_TRANSMEMBRANE_TRANSPORT	1546	37	9.167887380597568e-17	2.5916912402843126e-14	NPPA:PRKAB2:KCNJ9:RGS2:CACNA1S:PLCB3:KCNJ5:CACNA2D4:CACNB3:RYR3:PLCB2:CACNG3:KCNJ12:CACNG5:CACNG4:CACNG1:KCNJ2:RYR1:CALM3:KCNJ14:CACNG7:CACNG8:CACNG6:KCNJ3:PLCB1:TRPM2:CACNG2:KCNJ4:RAF1:CACNA2D2:CACNA2D3:MEF2C:ITPR3:ACTB:CACNA2D1:PIK3CG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_TRANSMEMBRANE_TRANSPORT
GO_bp	GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	432	22	1.7530194907316042e-16	4.772108613658256e-14	CACNB3:NFATC4:CACNG3:CACNG5:CACNG4:CALM3:PRKCG:CACNG7:CACNG8:OXT:PLCB1:CACNG2:OXTR:GNAI2:CACNA2D2:CD38:MEF2C:ITPR3:CAMK2B:ADCY1:EGFR:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING
GO_bp	GO_REGULATION_OF_BODY_FLUID_LEVELS	494	23	2.2984024426223846e-16	6.033306411883759e-14	ADCY6:ADCY4:ADCY9:MAPK3:ADCY7:PIK3R6:PIK3R5:ACTG1:PRKCG:ADCY3:OXT:GNAS:OXTR:RAF1:GNAI2:ADCY2:ITPR3:ACTB:ADCY1:PIK3CG:NOS3:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATION_OF_BODY_FLUID_LEVELS
GO_bp	GO_MUSCLE_CONTRACTION	346	20	4.369697460357473e-16	1.1074922873664629e-13	NPPA:RGS2:CACNA1S:PPP1R12B:KCNJ5:MYL6B:MYL6:GNAO1:KCNJ12:KCNJ2:RYR1:CALM3:KCNJ3:OXT:MYLK2:OXTR:MYLK:CD38:CACNA2D1:PIK3CG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MUSCLE_CONTRACTION
GO_bp	GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	1569	36	1.0576495162288398e-15	2.5912413147606575e-13	NPPA:JUN:RGS2:ADCY6:ADCY4:NFATC4:FOS:RYR3:ADCY9:EEF2K:MAPK3:ADCY7:GNAO1:MAPK7:CACNG4:CALM3:ADCY3:OXT:PLCB1:TRPM2:OXTR:RAF1:GNAI2:CD38:ADCY2:MEF2C:CDKN1A:ACTB:ADCY1:EGFR:CACNA2D1:PIK3CG:NOS3:ADCY8:PRKACG:ELK1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND
GO_bp	GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	901	28	2.3549736099177153e-15	5.583566462224261e-13	JUN:CACNA1S:ADCY6:NFATC4:FOS:RYR3:PLA2G4F:EEF2K:MAPK3:GNAO1:CACNG4:RYR1:CALM3:PRKCG:ADCY3:OXT:TRPM2:OXTR:CD38:ADCY2:MEF2C:CDKN1A:ACTB:ADCY1:EGFR:PIK3CG:ADCY8:ELK1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND
GO_bp	GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY	39	10	3.2732175890390988e-15	7.51817164982418e-13	ADCY6:ADCY4:ADCY9:ADCY7:CALM3:ADCY3:RAF1:ADCY2:ADCY1:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY
GO_bp	GO_CELLULAR_RESPONSE_TO_GLUCAGON_STIMULUS	26	9	3.740501473086375e-15	8.331116917328745e-13	ADCY6:ADCY4:ADCY9:ADCY7:ADCY3:ADCY2:ADCY1:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_GLUCAGON_STIMULUS
GO_bp	GO_RESPONSE_TO_CALCIUM_ION	148	14	1.8480447046520575e-14	3.995037817409594e-12	JUN:FOS:RYR3:EEF2K:ACTG1:RYR1:CALM3:TRPM2:CACNG2:MEF2C:ITPR3:ADCY1:EGFR:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_CALCIUM_ION
GO_bp	GO_RESPONSE_TO_GLUCAGON	35	9	8.148434066555384e-14	1.7111711539766306e-11	ADCY6:ADCY4:ADCY9:ADCY7:ADCY3:ADCY2:ADCY1:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_GLUCAGON
GO_bp	GO_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_POSTSYNAPTIC_ENDOSOME_TO_LYSOSOME	7	6	9.078775927892495e-14	1.8535834186113845e-11	CACNG3:CACNG5:CACNG4:CACNG7:CACNG8:CACNG2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_NEUROTRANSMITTER_RECEPTOR_TRANSPORT_POSTSYNAPTIC_ENDOSOME_TO_LYSOSOME
GO_bp	GO_RENAL_WATER_HOMEOSTASIS	36	9	1.0820419343571767e-13	2.1169102510968494e-11	ADCY6:ADCY4:ADCY9:ADCY7:ADCY3:ADCY2:ADCY1:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RENAL_WATER_HOMEOSTASIS
GO_bp	GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION	1719	35	1.1066315398387407e-13	2.1169102510968494e-11	NPPA:JUN:GNAI3:RGS2:PPP1R12B:ADCY6:CACNB3:PPP1R12A:ADCY4:PLCB2:ADCY9:CACNG3:MAPK3:ADCY7:GNAO1:PIK3R6:PIK3R5:CACNG4:CALM3:ADCY3:PLCB1:GNAS:CACNG2:RAF1:GNAI2:ADCY2:MEF2C:CDKN1A:ADCY1:EGFR:CACNA2D1:PIK3CG:NOS3:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_MOLECULAR_FUNCTION
GO_bp	GO_CELLULAR_RESPONSE_TO_DRUG	350	18	1.1257624352789486e-13	2.1169102510968494e-11	CACNA1S:ADCY6:PPP1R12A:RYR3:MAPK3:ADCY7:MAPK7:RYR1:ADCY3:PLCB1:TRPM2:GNAI2:ADCY2:MEF2C:ACTB:ADCY1:EGFR:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_DRUG
GO_bp	GO_CELL_CELL_SIGNALING	1619	34	1.173706348283107e-13	2.1169102510968494e-11	NPPA:PLCB3:PPP1CA:KCNJ5:CACNB3:NFATC4:PLCB2:CACNG3:GNAO1:CACNG5:CACNG4:NFATC1:CALM3:PRKCG:CACNG7:CACNG8:KCNJ3:OXT:PLCB1:MYLK2:GNAS:CACNG2:OXTR:RAF1:GNAI2:CACNA2D2:CD38:MEF2C:ITPR3:CAMK2B:ADCY1:EGFR:CACNA2D1:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELL_CELL_SIGNALING
GO_bp	GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	169	14	1.180861500611848e-13	2.1169102510968494e-11	CACNB3:NFATC4:CACNG3:CACNG5:CACNG4:CACNG7:CACNG8:OXT:CACNG2:OXTR:ITPR3:ADCY1:EGFR:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION
GO_bp	GO_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING	209	15	1.2264841872895383e-13	2.146347327756692e-11	NPPA:RGS2:ADCY6:ADCY4:ADCY9:ADCY7:MAPK7:CALM3:ADCY3:GNAS:GNAI2:ADCY2:ADCY1:ADCY8:NPR2	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING
GO_bp	GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS	472	20	1.5639704284312329e-13	2.6732982904580374e-11	PRKAB2:ADCY6:PRKAB1:ADCY4:ADCY9:ADCY7:ACTG1:ADCY3:OXT:GNAS:TRPM2:OXTR:CD38:ADCY2:ACTB:ADCY1:EGFR:NOS3:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS
GO_bp	GO_RESPONSE_TO_INORGANIC_SUBSTANCE	542	21	2.0150788059170956e-13	3.350537916240959e-11	JUN:PPP1CA:NFATC4:FOS:RYR3:EEF2K:MAPK3:ADCY7:GNAO1:MAPK7:ACTG1:RYR1:CALM3:TRPM2:CACNG2:MEF2C:ITPR3:ADCY1:EGFR:NOS3:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_INORGANIC_SUBSTANCE
GO_bp	GO_HOMEOSTATIC_PROCESS	1863	36	2.0680151011256995e-13	3.350537916240959e-11	PRKAB2:PLCB3:ADCY6:CACNB3:PRKAB1:ADCY4:RYR3:PLCB2:ADCY9:MAPK3:ADCY7:KCNJ2:ACTG1:RYR1:CALM3:ADCY3:OXT:PLCB1:GNAS:TRPM2:OXTR:RAF1:GNAI2:CD38:ADCY2:MEF2C:ITPR3:ACTB:ADCY1:EGFR:CACNA2D1:PIK3CG:NOS3:ADCY8:PRKACG:CACNA1F	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_HOMEOSTATIC_PROCESS
GO_bp	GO_RESPONSE_TO_METAL_ION	363	18	2.0969352945181513e-13	3.350537916240959e-11	JUN:PPP1CA:NFATC4:FOS:RYR3:EEF2K:MAPK3:ADCY7:ACTG1:RYR1:CALM3:TRPM2:CACNG2:MEF2C:ITPR3:ADCY1:EGFR:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_METAL_ION
GO_bp	GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	619	22	2.798674034126976e-13	4.3766498193262287e-11	CACNA1S:ADCY6:ADCY4:RYR3:ADCY9:EEF2K:MAPK3:ADCY7:RYR1:ADCY3:PLCB1:TRPM2:GNAI2:ADCY2:MEF2C:ACTB:ADCY1:EGFR:CACNA2D1:PIK3CG:ADCY8:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND
GO_bp	GO_PROTEIN_PHOSPHORYLATION	1900	36	3.735631583307671e-13	5.720185861939871e-11	JUN:PRKAB2:RGS2:ADCY6:PRKAB1:ADCY4:ADCY9:EEF2K:MAPK3:MYLK3:ADCY7:PIK3R6:PIK3R5:MAPK7:CALM3:PRKCG:ADCY3:PRKAG3:PLCB1:MYLK2:OXTR:RAF1:GNAI2:MYLK:ADCY2:MEF2C:MYLK4:CDKN1A:ACTB:CAMK2B:ADCY1:EGFR:PIK3CG:ADCY8:NPR2:PRKACG	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_PHOSPHORYLATION
GO_bp	GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	85	11	4.086797775332698e-13	6.130196662999047e-11	GNAI3:RGS2:ADCY6:ADCY4:ADCY9:ADCY7:ADCY3:GNAI2:ADCY2:ADCY1:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY
GO_bp	GO_SYNAPTIC_SIGNALING	704	23	4.242288992204279e-13	6.23616481854029e-11	CACNB3:NFATC4:CACNG3:CACNG5:CACNG4:CALM3:PRKCG:CACNG7:CACNG8:OXT:PLCB1:MYLK2:CACNG2:OXTR:GNAI2:CACNA2D2:CD38:MEF2C:ITPR3:CAMK2B:ADCY1:EGFR:ADCY8	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SYNAPTIC_SIGNALING
GO_bp	GO_RESPONSE_TO_ENDOGENOUS_STIMULUS	1593	33	4.518673431013639e-13	6.512205827049067e-11	NPPA:JUN:CACNA1S:ADCY6:ADCY4:FOS:RYR3:ADCY9:EEF2K:MAPK3:ADCY7:MAPK7:RYR1:CALM3:ADCY3:OXT:PLCB1:TRPM2:OXTR:GNAI2:CD38:ADCY2:MEF2C:CDKN1A:ACTB:ADCY1:EGFR:CACNA2D1:PIK3CG:NOS3:ADCY8:PRKACG:ELK1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_RESPONSE_TO_ENDOGENOUS_STIMULUS
